Year;blue Satisfaction;red Satisfaction;yellow Satisfaction;brown Satisfaction
3160;63.0;62.0;63.0;56.0
3165;63.0;63.0;63.0;56.0
3170;63.0;63.0;63.0;56.0
3175;63.0;63.0;63.0;56.0
3180;63.0;63.0;63.0;56.0
3185;63.0;63.0;63.0;56.0
3190;63.0;63.0;63.0;56.0
3195;63.0;63.0;63.0;56.0
3200;63.0;63.0;63.0;56.0
3205;63.0;63.0;63.0;56.0
3210;63.0;64.0;63.0;56.0
3215;63.0;64.0;63.0;56.0
3220;63.0;64.0;64.0;56.0
3225;63.0;64.0;64.0;56.0
3230;63.0;64.0;64.0;56.0
3235;63.0;64.0;64.0;56.0
3240;63.0;65.0;64.0;56.0
3245;63.0;64.0;64.0;56.0
3250;64.0;65.0;64.0;56.0
3255;64.0;65.0;64.0;56.0
3260;64.0;65.0;64.0;56.0
3265;64.0;65.0;64.0;56.0
3270;64.0;65.0;64.0;56.0
3275;64.0;66.0;64.0;56.0
3280;64.0;65.0;64.0;56.0
3285;64.0;65.0;64.0;57.0
3290;64.0;65.0;64.0;57.0
3295;64.0;65.0;64.0;57.0
3300;65.0;65.0;64.0;57.0
3305;65.0;65.0;64.0;57.0
3310;65.0;66.0;64.0;57.0
3315;65.0;66.0;64.0;57.0
3320;65.0;66.0;64.0;57.0
3325;65.0;66.0;64.0;57.0
3330;65.0;66.0;64.0;58.0
3335;65.0;66.0;64.0;58.0
3340;65.0;66.0;64.0;58.0
3345;65.0;66.0;65.0;58.0
3350;65.0;66.0;65.0;58.0
3355;65.0;66.0;65.0;58.0
3360;65.0;66.0;65.0;58.0
3365;65.0;66.0;65.0;58.0
3370;66.0;66.0;65.0;58.0
3375;66.0;66.0;65.0;58.0
3380;66.0;66.0;65.0;58.0
3385;66.0;66.0;65.0;58.0
3390;66.0;66.0;65.0;58.0
3395;66.0;66.0;66.0;58.0
3400;66.0;66.0;66.0;58.0
3405;66.0;66.0;66.0;59.0
3410;66.0;66.0;66.0;59.0
3415;66.0;66.0;66.0;59.0
3420;66.0;66.0;66.0;59.0
3425;66.0;66.0;66.0;59.0
3430;66.0;66.0;66.0;59.0
3435;66.0;67.0;67.0;59.0
3440;66.0;67.0;67.0;59.0
3445;66.0;67.0;67.0;59.0
3450;65.0;66.0;67.0;59.0
3455;65.0;66.0;67.0;59.0
3460;65.0;66.0;67.0;59.0
3465;65.0;66.0;67.0;59.0
3470;65.0;66.0;67.0;59.0
3475;66.0;66.0;67.0;59.0
3480;66.0;66.0;67.0;59.0
3485;66.0;66.0;67.0;59.0
3490;66.0;66.0;67.0;59.0
3495;66.0;66.0;67.0;59.0
3500;66.0;67.0;67.0;59.0
3505;66.0;67.0;67.0;59.0
3510;66.0;67.0;67.0;59.0
3515;66.0;67.0;67.0;59.0
3520;66.0;67.0;67.0;59.0
3525;66.0;67.0;67.0;60.0
3530;66.0;67.0;67.0;60.0
3535;66.0;67.0;67.0;60.0
3540;66.0;67.0;67.0;60.0
3545;66.0;67.0;67.0;60.0
3550;67.0;68.0;67.0;60.0
3555;67.0;68.0;67.0;60.0
3560;67.0;68.0;67.0;60.0
3565;67.0;68.0;67.0;60.0
3570;67.0;68.0;67.0;60.0
3575;67.0;68.0;67.0;60.0
3580;66.0;68.0;67.0;60.0
3585;66.0;68.0;67.0;60.0
3590;66.0;67.0;67.0;60.0
3595;66.0;67.0;68.0;60.0
3600;66.0;67.0;68.0;60.0
3605;66.0;67.0;67.0;60.0
3610;66.0;67.0;67.0;61.0
3615;66.0;67.0;67.0;61.0
3620;66.0;67.0;67.0;61.0
3625;66.0;67.0;67.0;61.0
3630;66.0;67.0;67.0;61.0
3635;66.0;67.0;67.0;61.0
3640;66.0;67.0;67.0;61.0
3645;66.0;67.0;68.0;61.0
3650;67.0;67.0;68.0;61.0
3655;67.0;67.0;68.0;61.0
